,index,JV_default_PCE
0,2,13.3
1,3,17.2
2,10,15.1
3,11,17.0
4,15,5.47
5,16,10.8
6,17,13.0
7,18,17.2
8,19,15.0
9,25,17.42
10,26,15.92
11,27,14.09
12,30,6.06
13,32,13.6
14,33,16.34
15,34,16.34
16,36,19.1
17,37,18.8
18,38,16.5
19,42,18.21
20,44,14.92
21,45,16.74
22,46,13.3
23,47,15.01
24,50,15.34
25,53,16.02
26,54,19.7
27,59,13.14
28,60,16.53
29,63,13.51
30,64,16.72
31,67,10.94
32,70,5.83
33,71,8.28
34,72,10.73
35,73,13.22
36,74,10.41
37,77,11.01
38,78,19.74
39,98,10.2
40,101,15.85
41,102,17.14
42,103,18.56
43,116,16.3
44,117,17.9
45,118,19.1
46,119,17.6
47,122,18.35
48,124,21.12
49,130,11.16
50,131,15.4
51,138,9.63
52,139,8.0
53,140,16.01
54,141,11.9
55,142,14.1
56,143,16.25
57,144,16.01
58,145,15.89
59,152,13.83
60,153,10.87
61,155,19.46
62,156,13.48
63,160,16.23
64,161,17.1
65,162,18.52
66,163,10.95
67,164,14.27
68,165,14.69
69,168,0.63
70,169,7.94
71,174,16.57
72,175,20.22
73,176,12.4
74,177,14.8
75,178,14.8
76,179,18.2
77,180,18.0
78,181,15.32
79,191,11.2
80,197,17.28
81,198,18.4
82,200,18.22
83,201,18.22
84,220,17.81
85,221,12.03
86,226,5.0
87,227,17.17
88,230,
89,231,
90,232,
91,234,7.0
92,235,11.17
93,238,11.26
94,239,12.51
95,242,15.88
96,243,13.82
97,255,11.9
98,256,16.9
99,257,18.2
100,258,18.2
101,259,15.7
102,260,15.7
103,261,10.41
104,262,12.64
105,263,17.18
106,266,16.1
107,270,12.1
108,271,16.0
109,272,12.5
110,275,12.75
111,280,10.5
112,281,17.0
113,282,18.27
114,283,14.7
115,284,12.33
116,285,17.1
117,286,15.1
118,288,8.0
119,289,7.6
120,290,6.6
121,291,12.81
122,292,13.62
123,293,15.11
124,294,17.46
125,295,16.23
126,296,18.82
127,297,15.1
128,298,19.0
129,299,19.1
130,300,13.2
131,301,10.3
132,302,15.2
133,303,
134,305,14.57
135,306,9.8
136,307,14.94
137,308,10.35
138,309,15.0
139,310,13.4
140,313,16.98
141,314,14.81
142,330,19.7
143,331,7.85
144,337,15.8
145,338,13.9
146,339,15.3
147,340,13.2
148,341,13.9
149,342,15.3
150,346,9.79
151,347,11.34
152,348,13.15
153,349,8.28
154,356,8.9
155,357,7.2
156,365,16.0
157,366,15.0
158,370,6.29
159,371,4.7
160,372,5.8
161,373,11.5
162,377,9.36
163,378,11.28
164,379,10.14
165,380,8.49
166,381,16.8
167,382,17.3
168,383,17.7
169,384,18.4
170,386,14.75
171,394,13.28
172,395,16.42
173,396,10.24
174,397,16.85
175,398,14.31
176,403,15.41
177,404,17.15
178,405,14.36
179,406,16.49
180,408,7.54
181,410,13.5
182,411,
183,412,5.5
184,413,5.18
185,414,11.03
186,415,11.4
187,416,8.08
188,417,8.5
189,418,13.3
190,419,17.7
191,420,9.0
192,421,16.2
193,422,12.3
194,453,17.35
195,458,11.7
196,459,14.1
197,460,7.12
198,461,7.21
199,462,15.2
200,463,12.0
201,466,14.48
202,467,16.67
203,469,5.51
204,472,6.07
205,473,12.4
206,474,17.39
207,475,18.44
208,480,15.67
209,481,16.81
210,482,12.5
211,483,13.8
212,484,11.38
213,485,16.56
214,505,14.6
215,506,15.95
216,507,15.06
217,508,15.49
218,512,18.94
219,513,15.6
220,514,13.53
221,515,15.16
222,516,15.25
223,517,15.53
224,518,15.23
225,524,14.08
226,528,16.99
227,529,18.95
228,535,8.87
229,539,16.6
230,540,15.7
231,551,5.41
232,552,8.14
233,558,11.86
234,563,19.6
235,564,9.0
236,565,11.9
237,566,13.67
238,567,18.84
239,568,7.28
240,569,11.45
241,570,9.35
242,571,20.31
243,572,17.91
244,587,
245,588,
246,590,
247,595,16.21
248,596,19.24
249,597,15.92
250,598,
251,599,
252,600,
253,602,19.88
254,603,19.88
255,605,17.2
256,606,20.0
257,611,15.4
258,612,17.39
259,613,13.66
260,617,18.7
261,618,
262,619,16.55
263,625,18.5
264,627,8.93
265,628,18.0
266,629,17.01
267,630,15.6
268,642,16.04
269,643,18.47
270,654,16.8
271,655,7.6
272,661,13.8
273,662,16.4
274,669,13.5
275,670,16.01
276,672,20.03
277,673,18.72
278,674,17.33
279,676,17.82
280,679,13.93
281,680,16.8
282,681,13.93
283,682,16.8
284,683,14.64
285,684,13.92
286,685,
287,686,
288,689,18.81
289,690,17.16
290,691,17.85
291,692,18.1
292,693,19.19
293,701,8.99
294,702,7.39
295,703,6.94
296,704,6.64
297,705,5.98
298,706,3.29
299,713,15.34
300,715,19.1
301,716,21.37
302,717,19.1
303,718,21.37
304,722,17.91
305,723,14.73
306,729,8.32
307,732,12.96
308,733,14.83
309,734,16.33
310,735,15.28
311,736,17.17
312,737,16.1
313,747,17.41
314,758,12.1
315,759,13.4
316,760,18.21
317,761,17.94
318,769,10.29
319,770,12.97
320,771,15.56
321,781,12.62
322,782,15.8
323,786,14.57
324,787,16.5
325,788,14.57
326,789,16.5
327,790,14.57
328,791,16.5
329,792,14.5
330,804,16.89
331,805,16.89
332,806,18.63
333,807,18.63
334,808,11.3
335,809,15.4
336,812,12.35
337,813,7.93
338,814,14.45
339,815,9.7
340,819,19.82
341,820,21.4
342,821,21.4
343,831,12.7
344,832,14.3
345,833,14.4
346,836,9.2
347,837,14.62
348,838,17.05
349,842,17.09
350,843,15.53
351,844,14.73
352,847,11.47
353,848,15.7
354,851,9.27
355,852,10.99
356,853,14.5
357,854,15.4
358,864,13.53
359,870,12.9
360,871,13.6
361,872,14.41
362,873,17.18
363,878,20.77
364,879,17.3
365,880,16.95
366,881,15.58
367,893,11.49
368,894,13.28
369,895,8.98
370,897,7.28
371,898,11.02
372,899,15.58
373,900,12.7
374,901,11.34
375,913,12.46
376,914,16.55
377,915,12.3
378,916,16.1
379,918,18.21
380,919,18.21
381,920,18.21
382,921,18.61
383,922,18.61
384,923,18.61
385,924,19.26
386,925,19.26
387,926,17.75
388,927,17.75
389,928,19.51
390,929,16.03
391,930,19.09
392,931,19.5
393,932,17.3
394,933,21.0
395,934,18.0
396,938,20.13
397,939,18.52
398,940,19.41
399,941,20.13
400,942,18.52
401,943,19.41
402,950,20.05
403,951,17.46
404,952,20.51
405,953,20.51
406,954,5.59
407,955,8.18
408,956,16.57
409,957,19.15
410,968,17.46
411,969,18.94
412,970,20.14
413,977,12.31
414,978,17.24
415,979,18.56
416,982,13.1
417,985,16.4
418,986,19.6
419,987,5.2
420,988,11.45
