,index,JV_default_PCE
0,4,18.45
1,8,19.43
2,9,21.2
3,51,17.3
4,52,20.08
5,81,17.9
6,82,18.9
7,83,17.37
8,91,21.2
9,92,22.0
10,120,19.1
11,121,21.0
12,127,15.6
13,128,17.4
14,129,20.3
15,166,18.2
16,167,18.8
17,182,10.97
18,187,18.7
19,188,20.5
20,194,20.46
21,195,17.16
22,196,9.46
23,206,15.9
24,207,17.0
25,208,15.1
26,209,18.21
27,210,20.33
28,212,18.84
29,213,19.97
30,244,14.7
31,245,17.2
32,246,18.79
33,247,18.45
34,248,18.6
35,249,18.86
36,268,16.71
37,269,19.9
38,276,17.54
39,277,14.69
40,326,18.65
41,367,16.23
42,368,12.35
43,375,14.7
44,376,17.7
45,424,8.61
46,428,8.46
47,432,7.92
48,456,17.38
49,497,17.7
50,498,19.4
51,546,21.52
52,547,19.48
53,548,21.52
54,549,16.3
55,550,17.5
56,607,15.39
57,636,16.89
58,637,17.49
59,638,18.41
60,639,18.6
61,695,18.37
62,696,20.53
63,711,18.0
64,712,17.5
65,724,20.2
66,725,21.44
67,730,16.5
68,731,19.1
69,738,17.1
70,740,17.7
71,783,19.2
72,784,16.55
73,785,6.15
74,845,13.5
75,846,14.6
76,867,15.33
77,868,17.07
78,875,19.8
79,908,18.2
80,910,17.6
81,911,17.9
82,912,19.6
83,917,21.7
84,936,17.96
85,937,20.01
86,948,16.86
87,949,16.17
88,972,20.01
89,973,20.87
90,974,20.73
91,975,19.43
92,976,1.11
93,980,21.0
94,981,20.7
95,1001,
96,1009,20.5
97,1010,20.3
98,1011,20.2
99,1014,
100,1015,20.3
101,1020,
102,1021,
103,1022,
104,1023,
105,1024,
106,1037,
107,1092,
108,1093,
109,1109,19.33
110,1110,8.83
111,1111,16.71
112,1139,18.59
113,1140,20.47
114,1141,27.1
115,1142,20.55
116,1143,20.55
117,1144,21.5
118,1145,20.8
119,1191,19.39
120,1192,20.0
121,1193,21.7
122,1194,21.8
123,1195,20.7
124,1196,18.33
125,1206,20.26
126,1220,12.24
127,1221,14.1
128,1222,12.24
129,1223,14.1
130,1224,14.38
131,1264,16.1
132,1265,18.2
133,1266,19.5
134,1267,19.9
135,1273,18.59
136,1274,19.83
137,1275,18.59
138,1276,19.83
139,1297,13.1
140,1344,16.52
141,1345,18.37
142,1425,18.5
143,1426,20.4
144,1429,18.8
145,1430,20.5
146,1431,18.1
147,1432,20.5
148,1443,
149,1444,
150,1466,20.04
151,1467,19.32
152,1479,18.0
153,1480,17.9
154,1481,18.0
155,1482,17.9
156,1508,13.0
157,1509,16.0
158,1510,13.5
159,1530,18.4
160,1541,21.23
161,1542,
162,1543,
163,1544,20.16
164,1545,18.62
165,1546,
166,1547,
167,1566,16.01
168,1567,17.69
169,1580,19.68
170,1581,19.68
171,1582,19.68
172,1583,19.68
173,1584,21.92
174,1585,21.92
175,1586,21.92
176,1587,21.92
177,1589,17.5
178,1590,17.4
179,1591,19.0
180,1601,15.43
181,1602,16.83
182,1615,19.03
183,1616,19.07
184,1622,16.84
185,1664,16.1
186,1671,16.04
187,1672,19.2
188,1673,8.78
189,1674,16.04
190,1675,19.2
191,1676,8.78
192,1677,15.4
193,1678,15.4
194,1679,18.3
195,1680,18.3
196,1686,15.22
197,1691,16.86
198,1693,16.86
199,1714,16.62
200,1715,16.64
201,1716,16.71
202,1717,19.79
203,1718,19.84
204,1719,19.81
205,1720,18.56
206,1721,18.58
207,1722,18.55
208,1723,18.12
209,1724,18.09
210,1725,18.09
211,1732,18.6
212,1742,14.35
213,1743,17.57
214,1811,17.8
215,1812,19.0
216,1813,18.1
217,1820,17.4
218,1821,14.0
219,1881,14.6
220,1900,14.3
221,1901,18.0
222,1902,
223,1965,17.02
224,1974,18.53
225,1975,18.42
226,1976,9.8
227,1977,9.6
228,1978,10.1
229,1979,7.4
230,1982,15.42
231,1983,
232,1984,17.32
233,1985,13.73
234,1986,12.19
235,1987,12.19
236,2015,19.1
237,2038,10.97
238,2039,12.0
239,2040,10.17
240,2041,9.4
241,2060,7.1
242,2061,9.7
243,2062,1.5
244,2068,17.56
245,2069,18.44
246,2113,13.0
247,2114,12.5
248,2117,17.08
249,2118,20.48
250,2119,18.4
251,2120,16.51
252,2121,18.61
253,2122,18.98
254,2123,17.09
255,2124,19.01
256,2125,19.1
257,2138,13.4
258,2139,18.3
259,2153,19.2
260,2154,19.2
261,2155,19.2
262,2156,19.2
263,2273,
264,2274,
265,2275,
266,2287,18.45
267,2288,19.73
268,2289,20.27
269,2291,13.14
270,2308,12.25
271,2310,14.55
272,2311,
273,2402,
274,2403,
275,2404,19.31
276,2405,20.24
277,2406,19.31
278,2407,20.24
279,2454,10.74
280,2455,14.12
281,2456,15.37
282,2457,16.5
283,2458,16.67
284,2512,17.5
285,2527,17.7
286,2528,19.2
287,2541,13.2
288,2562,18.89
289,2563,20.27
290,2570,11.9
291,2574,15.72
292,2581,18.09
293,2586,19.8
294,2587,17.6
295,2589,17.4
296,2590,19.1
297,2861,18.67
298,2864,12.64
299,2867,17.02
300,2896,8.0
301,2897,15.9
302,2898,10.8
303,2940,19.22
304,2941,20.54
305,3025,19.9
306,3026,21.9
307,3046,21.2
308,3059,17.36
309,3060,19.14
310,3066,20.4
311,3072,20.4
312,3077,15.83
313,3115,17.76
314,3116,13.44
315,3132,22.3
316,3133,22.3
317,3134,17.9
318,3135,19.46
319,3141,20.0
320,3142,17.0
321,3170,14.9
322,3199,15.4
323,3200,15.4
324,3201,15.2
325,3202,15.2
326,3203,14.5
327,3204,14.5
328,3205,14.46
329,3206,12.77
330,3207,18.91
331,3258,18.5
332,3273,14.17
333,3274,15.74
334,3279,15.1
335,3319,20.14
336,3320,19.88
337,3360,18.2
338,3361,18.2
339,3362,20.0
340,3363,20.0
341,3364,16.3
342,3365,16.3
343,3366,18.4
344,3367,18.4
345,3368,14.5
346,3369,14.5
347,3370,16.8
348,3371,16.8
349,3381,17.1
350,3392,17.98
351,3393,21.01
352,3452,17.7
353,3453,15.2
354,3454,10.87
355,3457,15.9
356,3462,18.12
357,3463,19.63
358,3464,14.22
359,3465,15.19
360,3466,15.07
361,3467,18.16
362,3489,18.96
363,3490,19.86
364,3503,16.4
365,3576,19.82
366,3577,21.18
367,3602,19.05
368,3603,19.05
369,3609,19.2
370,3610,20.1
371,3611,19.11
372,3612,15.29
373,3646,15.29
374,3650,17.0
375,3651,17.6
376,3725,15.39
377,3812,19.8
378,3814,16.8
379,3819,16.35
380,3820,17.85
381,3862,15.62
382,3863,17.04
383,3869,18.2
384,3890,19.21
385,3897,17.5
386,3898,16.0
387,3913,17.11
388,3914,18.02
389,3915,18.15
390,3916,18.64
391,3917,18.69
392,3918,19.1
393,3919,18.25
394,3928,14.7
395,3974,18.24
396,3975,16.36
397,3998,20.0
398,4015,11.86
399,4016,14.64
400,4017,18.92
401,4084,19.62
402,4085,20.14
403,4170,18.13
404,4187,17.4
405,4188,18.4
406,4189,18.1
407,4206,20.1
408,4255,17.91
409,4345,11.16
410,4347,18.2
411,4348,19.6
412,4424,18.4
413,4425,18.5
414,4427,19.92
415,4443,16.53
416,4444,19.1
417,4445,19.4
418,4474,17.64
419,4475,19.38
420,4476,18.83
421,4477,16.83
422,4478,15.66
423,4488,19.5
424,4498,19.88
425,4499,22.6
426,4502,18.5
427,4503,19.6
428,4505,19.6
429,4507,19.0
430,4508,18.66
431,4509,17.48
432,4510,15.43
433,4525,18.1
434,4534,18.1
435,4535,20.1
436,4542,12.86
437,4543,14.86
438,4677,21.55
439,4725,16.84
440,4726,18.01
441,4787,19.17
442,4794,14.2
443,4884,16.6
444,4885,18.95
445,4921,19.8
446,4922,21.8
447,4923,21.14
448,4924,20.8
449,4961,19.12
450,4962,20.35
451,4963,21.3
452,4969,10.35
453,4970,15.27
454,4971,18.97
455,4972,16.47
456,4973,18.97
457,4974,16.47
458,4979,16.07
459,4980,16.32
460,4981,15.06
461,4982,15.41
462,5059,19.4
463,5061,15.8
464,5062,12.7
465,5063,12.4
466,5069,19.1
467,5070,11.73
468,5087,16.91
469,5088,18.72
470,5089,18.3
471,5090,14.4
472,5096,18.58
473,5097,20.02
474,5129,20.9
475,5130,20.12
476,5131,17.72
477,5132,20.12
478,5133,17.72
479,5138,13.11
480,5139,13.11
481,5140,19.67
482,5141,19.67
483,5145,17.7
484,5147,14.56
485,5148,19.88
486,5155,19.47
487,5156,21.63
488,5157,19.47
489,5158,21.63
490,5160,15.31
491,5161,16.38
492,5169,19.1
493,5170,21.3
494,5171,18.53
495,5176,19.8
496,5185,17.5
497,5188,17.12
498,5239,16.59
499,5240,18.55
500,5252,16.77
501,5253,
502,5351,
503,5352,
504,5353,
505,5356,
506,5365,
507,5482,8.52
508,5483,16.55
509,5486,19.5
510,5487,19.3
511,5488,19.5
512,5489,19.3
513,5490,19.5
514,5491,19.3
515,5501,20.12
516,5502,17.04
517,5512,14.03
518,5513,17.29
519,5514,16.89
520,5523,19.12
521,5524,17.17
522,5531,19.0
523,5566,13.72
524,5567,16.64
525,5584,18.91
526,5585,19.21
527,5599,16.3
528,5614,18.9
529,5615,19.2
530,5637,19.58
531,5638,16.86
532,5653,20.8
533,5669,19.3
534,5670,20.4
535,5702,18.73
536,5703,17.05
537,5712,19.08
538,5713,21.03
539,5715,21.14
540,5716,20.02
541,5730,18.2
542,5731,19.2
543,5757,20.45
544,5768,18.95
545,5769,18.95
546,5770,19.87
547,5771,19.87
548,5773,20.3
549,5785,17.8
550,5786,20.2
551,5787,21.11
552,5788,20.43
553,5789,19.62
554,5790,20.39
555,5798,18.6
556,5799,15.2
557,5800,15.4
558,5801,18.5
559,5802,18.5
560,5803,15.2
561,5804,15.2
562,5805,18.5
563,5812,11.22
564,5813,16.34
565,5814,10.99
566,5815,16.34
567,5819,19.62
568,5820,14.81
569,5821,17.05
570,5825,15.87
571,5828,18.65
572,5829,19.7
573,5833,16.2
574,5834,11.4
575,5836,19.8
576,5849,15.8
577,5850,15.21
578,5851,14.9
579,5852,13.9
580,5853,15.21
581,5854,13.9
582,5866,19.01
583,5867,17.31
584,5878,19.27
585,5879,20.96
586,5911,16.77
587,5912,15.63
588,5913,14.52
589,5968,16.64
590,5969,17.6
591,5970,17.09
592,5971,18.44
593,5972,16.86
594,5973,17.93
595,5980,17.7
596,5987,19.61
597,5988,20.92
598,5993,16.8
599,6017,18.1
600,6018,19.46
601,6019,19.67
602,6020,21.21
603,6021,17.5
604,6022,21.97
605,6108,18.03
606,6109,
607,6135,20.5
608,6137,18.32
609,6146,20.6
610,6147,9.3
611,6148,18.4
612,6151,10.2
613,6152,15.4
614,6195,17.62
615,6207,20.77
616,6208,21.81
617,6209,21.11
618,6210,19.61
619,6215,16.7
620,6246,16.4
621,6286,17.4
622,6287,19.4
623,6290,19.44
624,6291,18.62
625,6293,18.62
626,6295,18.62
627,6430,
628,6431,21.2
629,6437,19.02
630,6439,13.7
631,6440,15.09
632,6502,
633,6536,13.3
634,6537,16.4
635,6546,16.9
636,6548,15.34
637,6550,17.43
638,6554,15.13
639,6555,13.2
640,6580,19.1
641,6581,19.7
642,6586,18.48
643,6587,20.13
644,6588,15.52
645,6589,17.81
646,6605,19.16
647,6606,20.56
648,6607,20.56
649,6613,19.31
650,6614,
651,6683,16.96
652,6687,18.09
653,6689,21.03
654,6690,19.17
655,6691,18.27
656,6692,19.16
657,6723,16.01
658,6724,11.85
659,6725,15.31
660,6734,18.2
661,6735,20.2
662,6773,16.0
663,6790,18.3
664,6792,20.02
665,6793,18.3
666,6794,18.3
667,6795,20.02
668,6822,17.0
669,6823,18.6
670,6865,13.1
671,6866,13.0
672,6867,11.8
673,6873,14.0
674,6874,11.57
675,6875,11.19
676,6876,13.9
677,6877,15.9
678,6952,
679,7027,20.9
680,7028,20.9
681,7029,18.4
682,7030,18.4
683,7075,16.71
684,7076,18.1
685,7077,18.61
686,7078,19.46
687,7079,18.05
688,7080,17.09
689,7162,19.22
690,7163,18.62
691,7169,11.5
692,7170,18.6
693,7171,20.0
694,7172,17.5
695,7173,20.0
696,7174,17.5
697,7175,20.0
698,7253,20.3
699,7254,21.45
700,7255,
701,7256,18.54
702,7284,16.6
703,7285,14.8
704,7299,20.2
705,7312,18.24
706,7313,21.25
707,7319,18.7
708,7328,20.04
709,7329,18.9
710,7333,16.44
711,7334,17.63
712,7335,17.45
713,7336,16.5
714,7337,16.5
715,7338,17.1
716,7339,17.1
717,7340,18.7
718,7341,18.7
719,7342,19.9
720,7357,22.1
721,7358,22.1
722,7383,16.0
723,7384,17.0
724,7385,17.0
725,7386,17.0
